feature,importance
avg_base_salary,4.767999173191229
avg_gross_pay,3.7443472216427938
avg_net_pay,0.964999047782255
avg_deductions,0.24302150707449863
avg_bonus_amount,0.23308200442780772
total_training_cost,0.10858560993740869
avg_certification_score,0.08848508451725587
total_bonus_amount,0.08323567828749806
avg_grievance_resolution_days,0.0687372464029653
total_overtime_hours,0.0534430204761573
total_learning_hours,0.03417106554297952
age,0.03179209706350334
department_id,0.030818816587162467
avg_burnout_index,0.030001108696786835
avg_course_completion_score,0.027169911609354967
avg_overtime_amount,0.027133046084008662
avg_goal_achievement,0.024868559749225517
role_id,0.024367016960289357
avg_kpi_achievement_pct,0.013569384323678118
avg_ticket_resolution_hours,0.01254327074318423
avg_output_score,0.012416768133076012
manager_id,0.010084719252174693
avg_comp_change_percent,0.009944193996887365
certification_count,0.007774853355525408
total_training_hours,0.007620857637521672
skill_count,0.007207396986653529
avg_attendance_percentage,0.006180795109899659
overtime_count,0.005669685159831302
total_comp_change_amount,0.004414173477312888
total_leave_days,0.003830875021339038
avg_tasks_completed,0.003211646954941331
role_transition_count,0.003091621701608078
band_change_count_prev,0.0030702142590864146
band_change_count_new,0.0030702142590864146
promotion_count,0.0024957198135651115
total_movements,0.0019270768059050146
unique_from_roles,0.0018983552454708125
unique_to_roles,0.0018247792014589228
unique_from_departments,0.0017664487867802645
unique_to_departments,0.0017284780886246208
location_id,0.0016603824870652449
avg_assessment_score,0.0013720149992339655
comp_change_count,0.0012911550979267119
grievance_count,0.0012271710256655005
course_count,0.0011590723859945299
leave_request_count,0.0011091143857038107
avg_overtime_hours,0.000958924998150716
has_grievance,0.0006431298472596485
min_performance_score,0.000464018876869843
bonus_count,0.0004259074159474264
certified_skill_count,0.0003645007567208938
avg_present_days,0.0003610937044001426
tenure_years,0.0002992631574282374
avg_bonus_performance_rating,0.00028725696025532
max_performance_score,0.0002666775540313845
avg_working_days,0.0002538879391906279
job_level_id,0.00024124032358224362
hr_ticket_count,0.00015321413544636497
gender_MALE,0.00015060554569150777
employment_type_FULL-TIME,0.00014950680468318506
avg_manager_support_score,0.00012819505474868597
avg_competency_score,0.00010864459937831015
survey_satisfaction_score,7.490082942463091e-05
avg_manager_rating,6.946038899498122e-05
survey_manager_support_score,6.387113551895967e-05
avg_engagement_score,5.8972160643419456e-05
avg_efficiency_score,5.6535558907636786e-05
comp_band_id,4.857009661455012e-05
avg_late_days,4.1496271851695727e-05
employment_status_ON LEAVE,3.293193174391008e-05
avg_work_life_balance_score,3.050415296732122e-05
survey_work_life_balance_score,2.5162243096162064e-05
avg_quality_score,2.2731310284314192e-05
avg_absent_days,1.7367369649671686e-05
avg_satisfaction_score,1.0780445896506863e-05
avg_performance_score,1.0509876594892564e-05
avg_leave_days,4.9319192111689e-06
overall_survey_score,4.751106665640355e-06
gender_OTHER,4.398960305326166e-06
employment_type_INTERN,3.7395806715265157e-06
employment_status_TERMINATED,1.656457016929889e-06
survey_engagement_score,9.648206496205093e-07
has_hr_ticket,8.044119420585732e-07
has_performance_record,4.4294514482814543e-07
avg_skill_proficiency,0.0
